Milho | INDICADOR DO MILHO ESALQ/BM&FBOVESPA;
Nota;à vista por saca de 60 kg, descontado o Prazo de Pagamento pela taxa CDI/CETIP.
Fonte;Cepea
Data;À vista R$
2001;18,14
2002;18,41
2006;17,88
2007;23,67
2008;25,55
2009;21,02
2010;21,51
2011;30,32
2012;29,81
2013;26,99
2014;26,87
2015;29,05
2016;44,48
2017;30,47
2018;38,49
2019;39,4
2020;58,69
2021;91,83
2022;88,16
