"Mandioca | PREÇOS DA RAIZ DE MANDIOCA - ""Média CEPEA"" (MS, PR e SP)";
Nota;R$/t - Posto Fábrica 
Fonte;Cepea
Data;Valor à vista
2001;89,64
2002;127,93
2006;133
2007;133
2008;145,76
2009;150,76
2010;223,42
2011;194,26
2012;218,18
2013;374,23
2014;270,55
2015;158,93
2016;333,58
2017;535,97
2018;465,52
2019;339,83
2020;375,98
2021;486,95
2022;873,15
