,0
207,"""Julio Cesar Ribeiro"""
208,"""Luisa Canziani"""
209,"""João Roma"""
210,"""Marcos Aurélio Sampaio"""
211,"""Osires Damaso"""
212,"""Eduardo da Fonte"""
213,"""Paulo Azi"""
214,"""Beto Rosado"""
215,"""Eduardo Cury"""
216,"""Marlon Santos"""
217,"""Valtenir Pereira"""
218,"""Professor Alcides"""
219,"""Milton Vieira"""
220,"""André Fufuca"""
221,"""Pedro Augusto Bezerra"""
222,"""Tereza Nelma"""
223,"""Dimas Fabiano"""
224,"""Aguinaldo Ribeiro"""
225,"""Marreca Filho"""
226,"""Átila Lira"""
227,"""Ruy Carneiro"""
228,"""Edilázio Júnior"""
229,"""Luis Miranda"""
230,"""Jaqueline Cassol"""
231,"""Arthur Lira"""
232,"""José Nunes"""
233,"""Tiago Dimas"""
234,"""Gilberto Abramo"""
235,"""Haroldo Cathedral"""
236,"""Glaustin da Fokus"""
237,"""Doutor Luizinho"""
238,"""Alex Santana"""
239,"""Gutemberg Reis"""
240,"""Alexandre Frota"""
241,"""Hugo Motta"""
242,"""Aníbal Gomes"""
243,"""Ricardo Teobaldo"""
244,"""Elmar Nascimento"""
245,"""Bilac Pinto"""
246,"""Chiquinho Brazão"""
247,"""Wladimir Garotinho"""
248,"""Santini"""
249,"""Geninho Zuliani"""
250,"""André Ferreira"""
251,"""Adriano do Baldy"""
252,"""Iracema Portella"""
253,"""Cristiano Vale"""
254,"""Eli Borges"""
255,"""Pedro Cunha Lima"""
256,"""Vaidon Oliveira"""
257,"""Paulo Magalhães"""
258,"""Abílio Santana"""
259,"""Gastão Vieira"""
260,"""Sérgio Brito"""
261,"""Leda Sadala"""
262,"""Bosco Costa"""
263,"""Augusto Coutinho"""
264,"""Celina Leão"""
265,"""Eli Corrêa Filho"""
266,"""Lucio Mosquini"""
267,"""Capitão Wagner"""
268,"""Fernando Rodolfo"""
269,"""Luiz Carlos Motta"""
270,"""Arthur Oliveira Maia"""
271,"""Sidney Leite"""
272,"""Darci de Matos"""
273,"""Rodrigo Maia"""
274,"""Mauro Lopes"""
275,"""Vanderlei Macris"""
276,"""Daniel Coelho"""
277,"""Newton Cardoso Jr"""
278,"""Carlos Henrique Gaguim"""
