percentage_votos_centrao,ibge,municipio,pib_per_capita,uf,taxa_analfabetismo,Year
0.5005983928876732,1301308,CODAJAS,3381.44,AM,26.8,2002
0.5708274894810659,1301407,EIRUNEPE,2137.91,AM,45.3,2002
0.0115248226950354,1301506,ENVIRA,1468.57,AM,53.4,2002
0.2189305012111049,1301605,FONTE BOA,1872.25,AM,40.6,2002
0.6008303677342823,1301654,GUAJARA,1903.26,AM,48.2,2002
0.2460761944271589,1301704,HUMAITA,2027.7,AM,24.8,2002
0.2460761944271589,1301704,HUMAITA,2027.7,AM,3.9,2002
0.6639109697933228,1301803,IPIXUNA,1494.17,AM,50.6,2002
0.2066067806432918,1301852,IRANDUBA,2994.62,AM,19.8,2002
0.3439426342936218,1301902,ITACOATIARA,3346.61,AM,11.8,2002
0.1876867901972504,1301951,ITAMARATI,2096.82,AM,60.0,2002
0.3520036849378167,1302009,ITAPIRANGA,2229.69,AM,8.3,2002
0.3520036849378167,1302009,ITAPIRANGA,2229.69,AM,3.7,2002
0.0655185323848745,1302108,JAPURA,1359.15,AM,42.4,2002
0.0655185323848745,1302108,JAPURA,1359.15,AM,11.9,2002
0.0278058645096056,1302207,JURUA,1919.37,AM,36.5,2002
0.417095483133219,1302306,JUTAI,2009.02,AM,43.4,2002
0.3567050747732287,1302405,LABREA,2009.21,AM,41.8,2002
0.36509521168423,1302504,MANACAPURU,4100.74,AM,20.4,2002
0.1866745515474078,1302553,MANAQUIRI,2207.13,AM,21.5,2002
0.0606608699924611,1302603,MANAUS,11738.8,AM,5.6,2002
0.2512963318609564,1302702,MANICORE,2238.27,AM,29.7,2002
0.5220833333333333,1302801,MARAA,1625.56,AM,42.3,2002
0.2144650247642309,1302900,MAUES,1675.25,AM,13.3,2002
0.765645371577575,1303007,NHAMUNDA,1792.48,AM,15.0,2002
0.3998416468725257,1303106,NOVA OLINDA DO NORTE,1546.04,AM,25.4,2002
0.2754504015628392,1303304,NOVO ARIPUANA,1821.76,AM,25.8,2002
0.2304213840691364,1303403,PARINTINS,2748.34,AM,10.3,2002
0.5414887126296523,1303502,PAUINI,1573.89,AM,51.7,2002
0.2936489336770564,1303536,PRESIDENTE FIGUEIREDO,4522.75,AM,11.5,2002
0.0343062926459439,1303569,RIO PRETO DA EVA,3335.06,AM,18.3,2002
0.3225524475524475,1303601,SANTA ISABEL DO RIO NEGRO,1928.54,AM,37.0,2002
0.2540983606557377,1303700,SANTO ANTONIO DO ICA,1343.91,AM,40.4,2002
0.2467278989667049,1303809,SAO GABRIEL DA CACHOEIRA,1849.55,AM,26.7,2002
0.6118315864274294,1303908,SAO PAULO DE OLIVENCA,1602.55,AM,42.6,2002
0.3870162297128589,1303957,SAO SEBASTIAO DO UATUMA,1601.28,AM,12.3,2002
0.3518103172060237,1304005,SILVES,2708.99,AM,12.4,2002
0.1104464454379447,1304062,TABATINGA,1649.15,AM,22.4,2002
0.1104464454379447,1304062,TABATINGA,1649.15,AM,12.2,2002
0.3476320357054302,1304104,TAPAUA,1693.24,AM,45.2,2002
0.1977214016029674,1304203,TEFE,2851.64,AM,20.2,2002
0.3157894736842105,1304237,TONANTINS,1260.35,AM,29.3,2002
0.691686460807601,1304260,UARINI,1980.76,AM,32.1,2002
0.2078663134297941,1304302,URUCARA,2172.93,AM,12.5,2002
0.3519656019656019,1304401,URUCURITUBA,2524.91,AM,12.7,2002
0.3622945320362294,1400027,AMAJARI,3993.35,RR,14.3,2002
