QT_VOTOS_NOMINAIS,NM_MUNICIPIO,SG_UF
0.22287892178524082,GUAJARÁ-MIRIM,RO
0.34714030810302793,PORTO VELHO,RO
0.08872532736586304,JI-PARANÁ,RO
0.11653307082923171,ARIQUEMES,RO
0.17929397949947404,CACOAL,RO
0.24035274621212122,PIMENTA BUENO,RO
0.2197830167668862,VILHENA,RO
0.503420973363742,JARU,RO
0.1675469983529278,OURO PRETO DO OESTE,RO
0.39831878435176205,PRESIDENTE MÉDICI,RO
0.47424931756141947,COSTA MARQUES,RO
0.4792201904186187,COLORADO DO OESTE,RO
0.26645359076381187,ESPIGÃO DO OESTE,RO
0.32189830508474576,CEREJEIRAS,RO
0.4364392678868552,ROLIM DE MOURA,RO
0.3874880611270296,ALTA FLORESTA D OESTE,RO
0.25633758463234135,ALVORADA DO OESTE,RO
0.633778857837181,SANTA LUZIA D OESTE,RO
0.30871565336317297,NOVA BRASILÂNDIA D OESTE,RO
0.2585803726333258,MACHADINHO D OESTE,RO
0.3281700673005021,SÃO MIGUEL DO GUAPORÉ,RO
0.37801057372234187,NOVA MAMORÉ,RO
0.4965437788018433,CABIXI,RO
0.24532462949894143,CANDEIAS DO JAMARI,RO
0.2330978809283552,ITAPUÃ DO OESTE,RO
0.628596724214254,NOVO HORIZONTE DO OESTE,RO
0.5227754237288136,CASTANHEIRAS,RO
0.4140625,VALE DO PARAÍSO,RO
0.2975273611674098,URUPÁ,RO
0.3922062815044591,MIRANTE DA SERRA,RO
0.3788124887204476,SERINGUEIRAS,RO
0.45025227043390514,THEOBROMA,RO
0.3637668676428366,MINISTRO ANDREAZZA,RO
0.45859262805169937,GOVERNADOR JORGE TEIXEIRA,RO
0.3714828897338403,CACAULÂNDIA,RO
0.23735139618468343,ALTO PARAÍSO,RO
0.20955699352911897,RIO CRESPO,RO
0.5206738131699847,CORUMBIARA,RO
0.3848886018727801,MONTE NEGRO,RO
0.3083383323335333,CAMPO NOVO DE RONDÔNIA,RO
0.33175788992224425,CUJUBIM,RO
0.4441668748438671,VALE DO ANARI,RO
0.5113471752776436,PARECIS,RO
0.39397163120567374,SÃO FELIPE D OESTE,RO
0.35542168674698793,PRIMAVERA DE RONDÔNIA,RO
0.5358586933390083,ALTO ALEGRE DOS PARECIS,RO
0.3266231925148852,NOVA UNIÃO,RO
0.2360643471754583,TEIXEIRÓPOLIS,RO
0.3266840570814792,BURITIS,RO
0.46422764227642277,PIMENTEIRAS DO OESTE,RO
0.2543810848400556,SÃO FRANCISCO DO GUAPORÉ,RO
0.5854465270121278,CHUPINGUAIA,RO
0.32902063544055027,BUJARI,AC
0.2677268475210477,CAPIXABA,AC
0.36356457980823464,PORTO ACRE,AC
0.3649564375605034,SANTA ROSA DO PURUS,AC
0.4078280890253262,MARECHAL THAUMATURGO,AC
0.3340458276333789,BRASILÉIA,AC
0.5526567735758736,PORTO WALTER,AC
0.4619865718799368,CRUZEIRO DO SUL,AC
0.44338405984008256,RODRIGUES ALVES,AC
0.3945470932852636,MÂNCIO LIMA,AC
0.1673832923832924,JORDÃO,AC
0.27210539650367366,EPITACIOLÂNDIA,AC
0.11971940763834762,ACRELÂNDIA,AC
0.12013458744360327,FEIJÓ,AC
0.37070536143894384,RIO BRANCO,AC
0.3209279845335911,SENA MADUREIRA,AC
0.13866415804327376,TARAUACÁ,AC
0.29842061512884455,XAPURI,AC
0.3827288428324698,PLÁCIDO DE CASTRO,AC
0.41898527004909986,SENADOR GUIOMARD,AC
0.341535657325131,MANOEL URBANO,AC
0.22859233959502318,ASSIS BRASIL,AC
0.46256908390554347,APUÍ,AM
0.2918759231905465,NOVO AIRÃO,AM
0.4584153103201574,GUAJARÁ,AM
0.3904847396768402,ANORI,AM
0.3930179145613229,CAREIRO DA VÁRZEA,AM
0.6524752475247525,ATALAIA DO NORTE,AM
0.5779444444444445,AUTAZES,AM
0.2570746675758609,BARCELOS,AM
0.43250451015765945,BARREIRINHA,AM
0.6481132733486783,BENJAMIN CONSTANT,AM
0.7336822904274725,BOCA DO ACRE,AM
0.39509744214372716,BORBA,AM
0.7839195979899497,CANUTAMA,AM
0.7239814979541007,CARAUARI,AM
0.31951253676985575,CAREIRO,AM
0.5851666974795094,COARI,AM
0.5349917081260365,CODAJÁS,AM
0.38412384123841237,EIRUNEPÉ,AM
0.5484356700685963,ENVIRA,AM
0.6350490989532751,FONTE BOA,AM
0.3700385642242658,HUMAITÁ,AM
0.29430535100638194,SANTA ISABEL DO RIO NEGRO,AM
0.849211356466877,IPIXUNA,AM
0.20531907843873562,ITACOATIARA,AM
0.4625,ITAPIRANGA,AM
0.2861457153642884,JAPURÁ,AM
0.6696318260439832,JURUÁ,AM
0.6053000560852496,JUTAÍ,AM
0.7747263681592039,LÁBREA,AM
0.35873206769177907,MANACAPURU,AM
0.15654373290757045,MANAUS,AM
0.39445714285714284,MANICORÉ,AM
0.6504872921842155,MARAÃ,AM
0.6340679976279897,MAUÉS,AM
0.4719562243502052,NHAMUNDÁ,AM
0.5718535881716552,NOVA OLINDA DO NORTE,AM
0.5348024724536415,NOVO ARIPUANÃ,AM
0.23360049457949703,PARINTINS,AM
0.5890915174836875,PAUINI,AM
0.5345246907052976,SANTO ANTÔNIO DO IÇÁ,AM
0.4724868593955322,SÃO PAULO DE OLIVENÇA,AM
0.2795805302730511,SILVES,AM
0.728824115595416,TAPAUÁ,AM
0.5482854494902688,TEFÉ,AM
0.30632005164016196,SÃO GABRIEL DA CACHOEIRA,AM
0.30934327207299833,URUCARÁ,AM
0.3389788905252823,URUCURITUBA,AM
0.7319194385108331,ALVARÃES,AM
0.4654706316048169,AMATURÁ,AM
0.5161035368504249,ANAMÃ,AM
0.5728155339805825,BERURI,AM
0.3699658703071672,BOA VISTA DO RAMOS,AM
0.5320324005891016,CAAPIRANGA,AM
0.3059156257365072,CAROEBE,RR
0.16982212073889266,BOA VISTA,RR
0.2636226034308779,IRACEMA,RR
0.26861145964031785,CARACARAÍ,RR
0.19920067311737485,AMAJARI,RR
0.23030541355354567,ALTO ALEGRE,RR
0.19049291652031378,CANTÁ,RR
0.21039458186101295,BONFIM,RR
0.3250099720781811,RORAINÓPOLIS,RR
0.38389800495809234,MUCAJAÍ,RR
0.28799226866392846,UIRAMUTÃ,RR
0.35084073304364255,NORMANDIA,RR
0.2740160106737825,PACARAIMA,RR
0.3507746273019585,SÃO JOÃO DA BALIZA,RR
0.2939087680961486,SÃO LUIZ,RR
0.26328557349708137,GOIANÉSIA DO PARÁ,PA
0.22270731369761326,ABAETETUBA,PA
0.3598184263618023,TAILÂNDIA,PA
0.33601359743740605,ACARÁ,PA
0.0902963066984974,BOM JESUS DO TOCANTINS,PA
0.5754920923882125,AFUÁ,PA
0.52828155862812,SÃO JOÃO DE PIRABAS,PA
0.27057388862200216,ALENQUER,PA
0.1489684850018985,TUCUMÃ,PA
0.3519385260216556,ALMEIRIM,PA
0.44979315532154945,MÃE DO RIO,PA
0.19214749349853055,ALTAMIRA,PA
0.1640625,ELDORADO DOS CARAJÁS,PA
0.39120897663038895,ANAJÁS,PA
0.2795841209829868,SANTA LUZIA DO PARÁ,PA
0.23421868977037025,ANANINDEUA,PA
0.01199400299850075,PALESTINA DO PARÁ,PA
0.37436117672321234,AUGUSTO CORRÊA,PA
0.21966391985781225,IPIXUNA DO PARÁ,PA
0.11126543209876544,AVEIRO,PA
0.19924812030075187,JACAREACANGA,PA
0.09218039855494697,BAGRE,PA
0.2294449391510834,BRASIL NOVO,PA
0.3291778156166383,BAIÃO,PA
0.4900990099009901,SANTA BÁRBARA DO PARÁ,PA
0.5156234301215714,BARCARENA,PA
0.13747110083585276,ÁGUA AZUL DO NORTE,PA
0.18922999857904188,BELÉM,PA
0.1563805850208936,TRAIRÃO,PA
0.32644805613231187,BENEVIDES,PA
0.07878384376387039,PAU D ARCO,PA
0.6385557066897489,BONITO,PA
0.5888594164456233,ULIANÓPOLIS,PA
0.44981718935063597,BRAGANÇA,PA
0.4326357661708751,AURORA DO PARÁ,PA
0.2061394843425862,BREVES,PA
0.14300078203552677,TERRA SANTA,PA
0.3749557835160948,BUJARU,PA
0.14284426820475848,NOVO PROGRESSO,PA
0.3259663793839065,CACHOEIRA DO ARARI,PA
0.11599456275487087,VITÓRIA DO XINGU,PA
0.2654957559640687,CAMETÁ,PA
0.3423147073453822,NOVO REPARTIMENTO,PA
0.6469792199200072,CAPANEMA,PA
0.375521342876268,BREU BRANCO,PA
0.46696675409371236,CAPITÃO POÇO,PA
0.1198818066694808,SÃO DOMINGOS DO ARAGUAIA,PA
0.4926522201843172,CASTANHAL,PA
0.40147272350134827,NOVA ESPERANÇA DO PIRIÁ,PA
0.17665164339892273,CHAVES,PA
0.23677317967522263,ABEL FIGUEIREDO,PA
0.5364546608376816,COLARES,PA
0.2772585669781931,CUMARU DO NORTE,PA
0.10998945306614434,CONCEIÇÃO DO ARAGUAIA,PA
0.48046329891152667,TERRA ALTA,PA
0.2343241330502477,CURRALINHO,PA
0.228677666744132,FLORESTA DO ARAGUAIA,PA
0.5865375302663438,CURUÇÁ,PA
0.044060234244283326,BANNACH,PA
0.2537966537966538,FARO,PA
0.3102533883323512,NOVA IPIXUNA,PA
0.24675117595471577,GURUPÁ,PA
