QT_VOTOS_NOMINAIS,NM_MUNICIPIO,SG_UF
0.09621451104100946,GUAJARA MIRIM,RO
0.2154371387756707,PORTO VELHO,RO
0.27522054852067457,JI PARANA,RO
0.546028580923895,ARIQUEMES,RO
0.6006193887446429,CACOAL,RO
0.17697946245790133,PIMENTA BUENO,RO
0.6019531092369154,VILHENA,RO
0.2089903125126667,JARU,RO
0.11537447952353344,OURO PRETO DO OESTE,RO
0.5250833333333333,PRESIDENTE MEDICI,RO
0.3675949367088608,COSTA MARQUES,RO
0.6185441236274909,COLORADO DO OESTE,RO
0.17185113736837876,ESPIGAO D OESTE,RO
0.531969013758816,CEREJEIRAS,RO
0.5019492203118753,ROLIM DE MOURA,RO
0.12870034578729864,ALTA FLORESTA DO OESTE,RO
0.5720477975632615,ALVORADA DO OESTE,RO
0.25046108447067505,SANTA LUZIA DO OESTE,RO
0.6225722406442444,NOVA BRASILANDIA,RO
0.4722732677548373,MACHADINHO DO OESTE,RO
0.4648950626604258,SAO MIGUEL DO GUAPORE,RO
0.422627587620414,NOVA MAMORE,RO
0.5084850354828756,CABIXI,RO
0.33234740521645606,CANDEIAS DO JAMARI,RO
0.6697121973503883,ITAPUA DO OESTE,RO
0.5591754095343272,NOVO HORIZONTE DO OESTE,RO
0.7474402730375427,CASTANHEIRAS,RO
0.12071816678478621,VALE DO PARAISO,RO
0.5334957369062119,URUPA,RO
0.30887898525882757,MIRANTE DA SERRA,RO
0.42503639010189226,SERINGUEIRAS,RO
0.4688494770350159,THEOBROMA,RO
0.6707399864222675,MINISTRO ANDREAZZA,RO
0.4408978583196046,GOVERNADOR JORGE TEIXEIRA,RO
0.5054505813953488,CACAULANDIA,RO
0.7250230840258541,ALTO PARAISO,RO
0.49536178107606677,RIO CRESPO,RO
0.501757231684239,CORUMBIARA,RO
0.6760398359695372,MONTE NEGRO,RO
0.6540807435376126,CAMPO NOVO DE RONDONIA,RO
0.6007962359753891,CUJUBIM,RO
0.5661337209302325,VALE DO ANARI,RO
0.34780361757105943,PARECIS,RO
0.45366006911718504,SAO FELIPE D OESTE,RO
0.36539306104523495,PRIMAVERA DE RONDONIA,RO
0.4194528875379939,ALTO ALEGRE DOS PARECIS,RO
0.23411562678878076,NOVA UNIAO,RO
0.2015059160989602,TEIXEIROPOLIS,RO
0.552442996742671,BURITIS,RO
0.504364694471387,PIMENTEIRAS DO OESTE,RO
0.42703074804956404,SAO FRANCISCO DO GUAPORE,RO
0.7077515647568609,CHUPINGUAIA,RO
0.5472972972972973,BUJARI,AC
0.2993716337522442,CAPIXABA,AC
0.43169522091974755,PORTO ACRE,AC
0.19525547445255476,SANTA ROSA,AC
0.40171858216971,MARECHAL THAUMATURGO,AC
0.09159014016433059,BRASILEIA,AC
0.5752961082910322,PORTO WALTER,AC
0.4912389453673857,CRUZEIRO DO SUL,AC
0.4789410348977136,RODRIGUES ALVES,AC
0.6687649229433471,MANCIO LIMA,AC
0.418932527693857,JORDAO,AC
0.1772062293534686,EPITACIOLANDIA,AC
0.38309308575616907,ACRELANDIA,AC
0.06842105263157895,FEIJO,AC
0.37372885241391957,RIO BRANCO,AC
0.09175766114829165,SENA MADUREIRA,AC
0.35818300369484896,TARAUACA,AC
0.2394535958216151,XAPURI,AC
0.32225856429678085,PLACIDO DE CASTRO,AC
0.42938451356717405,SENADOR GUIOMARD,AC
0.23849579416130628,MANUEL URBANO,AC
0.2619485294117647,ASSIS BRASIL,AC
0.8259375894646436,APUI,AM
0.5143833665622329,NOVO AYRAO,AM
0.6966192170818505,GUAJARA,AM
0.884087442806304,ANORI,AM
0.7123004953219593,CAREIRO DA VARZEA,AM
0.9331983805668016,ATALAIA DO NORTE,AM
0.6581880162580307,AUTAZES,AM
0.8729798695775447,BARCELOS,AM
0.4762349799732977,BARREIRINHA,AM
0.7572960838114243,BENJAMIN CONSTANT,AM
0.8861209964412812,BOCA DO ACRE,AM
0.7613490638625289,BORBA,AM
0.917401764234162,CANUTAMA,AM
0.897322067879135,CARAUARI,AM
0.7429228163561578,CAREIRO,AM
0.795124716553288,COARI,AM
0.8285176953325355,CODAJAS,AM
0.9063425276609007,EIRUNEPE,AM
0.9033687943262412,ENVIRA,AM
0.9116825041922862,FONTE BOA,AM
0.9409029950827,HUMAITA,AM
0.7460664335664335,SANTA ISABEL DO RIO NEGRO,AM
0.9453100158982511,IPIXUNA,AM
0.6148572147439929,ITACOATIARA,AM
0.7656093489148581,ITAPIRANGA,AM
0.8634097706879362,JAPURA,AM
0.955005055611729,JURUA,AM
0.8602058319039451,JUTAI,AM
0.7700416768815886,LABREA,AM
0.6969865039748567,MANACAPURU,AM
0.46380507697764295,MANAUS,AM
0.9196274246207029,MANICORE,AM
0.9179166666666667,MARAA,AM
0.9183119614627858,MAUES,AM
0.9511082138200783,NHAMUNDA,AM
0.8457640538400634,NOVA OLINDA DO NORTE,AM
0.8200564358584762,NOVO ARIPUANA,AM
0.6103369732699135,PARINTINS,AM
0.8749237339841367,PAUINI,AM
0.9566055930568949,SANTO ANTONIO DO ICA,AM
0.8656955054183691,SAO PAULO DE OLIVENCA,AM
0.5482217238064723,SILVES,AM
0.9585916191420779,TAPAUA,AM
0.8085050009935749,TEFE,AM
0.7979334098737084,SAO GABRIEL DA CACHOEIRA,AM
0.7240676584471164,URUCARA,AM
0.6844799344799345,URUCURITUBA,AM
0.8483701979045402,ALVARAES,AM
0.9357848518111965,AMATURA,AM
0.9119338605319913,ANAMA,AM
0.47735659174773565,BERURI,AM
0.9350180505415162,BOA VISTA DE RAMOS,AM
0.714231785579464,CAAPIRANGA,AM
0.3491104397448808,CAROEBE,RR
0.3022887463372139,BOA VISTA,RR
0.4324420677361854,IRACEMA,RR
0.38372610048910627,CARACARAI,RR
