QT_VOTOS_NOMINAIS,NM_MUNICIPIO,SG_UF
0.20269186712485682,GUAJARÁ-MIRIM,RO
0.28601029260764504,PORTO VELHO,RO
0.41560668288209257,JI-PARANÁ,RO
0.3050060072086504,ARIQUEMES,RO
0.29093445737354545,CACOAL,RO
0.41010721757322177,PIMENTA BUENO,RO
0.6111229581609587,VILHENA,RO
0.2571871029224905,JARU,RO
0.19779579293170138,OURO PRETO DO OESTE,RO
0.6723663522012578,PRESIDENTE MÉDICI,RO
0.604212373848179,COSTA MARQUES,RO
0.6724685405151123,COLORADO DO OESTE,RO
0.6989613890430508,ESPIGÃO DO OESTE,RO
0.8645687348706842,CEREJEIRAS,RO
0.5559470478683244,ROLIM DE MOURA,RO
0.5608369342733682,ALTA FLORESTA DO OESTE,RO
0.81607647771644,ALVORADA DO OESTE,RO
0.6064237775647172,SANTA LUZIA DO OESTE,RO
0.6370058247614326,NOVA BRASILÂNDIA,RO
0.34343076049943244,MACHADINHO DO OESTE,RO
0.6243066061522945,SÃO MIGUEL DO GUAPORÉ,RO
0.44791215142320473,NOVA MAMORÉ,RO
0.8519392917369308,CABIXI,RO
0.23238652186020606,CANDEIAS DO JAMARI,RO
0.39572010869565216,ITAPUÃ DO OESTE,RO
0.6109839816933639,NOVO HORIZONTE DO OESTE,RO
0.6313229571984436,CASTANHEIRAS,RO
0.3308120133481646,VALE DO PARAÍSO,RO
0.6284046692607004,URUPÁ,RO
0.574154852780807,MIRANTE DA SERRA,RO
0.7209170140204623,SERINGUEIRAS,RO
0.445848726424266,THEOBROMA,RO
0.40393379707363875,MINISTRO ANDREAZZA,RO
0.3944353518821604,GOVERNADOR JORGE TEIXEIRA,RO
0.5223443223443224,CACAULÂNDIA,RO
0.5465686274509803,ALTO PARAÍSO,RO
0.3838187702265372,RIO CRESPO,RO
0.8222709818979704,CORUMBIARA,RO
0.46132075471698114,MONTE NEGRO,RO
0.558119411595039,CAMPO NOVO DE RONDÔNIA,RO
0.479111325766723,CUJUBIM,RO
0.5110062893081762,VALE DO ANARI,RO
0.7322799097065463,PARECIS,RO
0.5267665952890792,SÃO FELIPE DO OESTE,RO
0.6537605696484201,PRIMAVERA DE RONDÔNIA,RO
0.4924537487828627,ALTO ALEGRE DOS PARECIS,RO
0.6180931744312026,NOVA UNIÃO,RO
0.397918909221385,TEIXEIRÓPOLIS,RO
0.6967452916438106,BURITIS,RO
0.7984084880636605,PIMENTEIRAS DO OESTE,RO
0.5287030474840538,SÃO FRANCISCO DO GUAPORÉ,RO
0.7285559174809989,CHUPINGUAIA,RO
0.3916236062007071,BUJARI,AC
0.4524436640327773,CAPIXABA,AC
0.45707398479510475,PORTO ACRE,AC
0.19398642095053345,SANTA ROSA,AC
0.6348888888888888,MARECHAL THAUMATURGO,AC
0.5816117815504193,BRASILÉIA,AC
0.6297085998578535,PORTO WALTER,AC
0.5234254735292149,CRUZEIRO DO SUL,AC
0.6967923710446468,RODRIGUES ALVES,AC
0.6778854046954523,MÂNCIO LIMA,AC
0.3079136690647482,JORDÃO,AC
0.5632745679874324,EPITACIOLÂNDIA,AC
0.296068567169741,ACRELÂNDIA,AC
0.6443736730360934,FEIJÓ,AC
0.2987107433348396,RIO BRANCO,AC
0.2713151295625522,SENA MADUREIRA,AC
0.18994462512085786,TARAUACÁ,AC
0.563679595779462,XAPURI,AC
0.4337162772686201,PLÁCIDO DE CASTRO,AC
0.3899478223831328,SENADOR GUIOMARD,AC
0.26402524544179523,MANUEL URBANO,AC
0.6094915254237289,ASSIS BRASIL,AC
0.7345345345345345,APUÍ,AM
0.5611175785797439,NOVO AIRÃO,AM
0.687780548628429,GUAJARÁ,AM
0.8336598746081505,ANORI,AM
0.8771610555050046,CAREIRO DA VÁRZEA,AM
0.662332838038633,ATALAIA DO NORTE,AM
0.771273221567739,AUTAZES,AM
0.8997826086956522,BARCELOS,AM
0.5875193626908608,BARREIRINHA,AM
0.5891073155011279,BENJAMIN CONSTANT,AM
0.7714728682170543,BOCA DO ACRE,AM
0.8195612254759834,BORBA,AM
0.9318314803978935,CANUTAMA,AM
0.5310394610202117,CARAUARI,AM
0.8746312684365781,CAREIRO,AM
0.4006981079687438,COARI,AM
0.8217064663268044,CODAJÁS,AM
0.5228403937617521,EIRUNEPÉ,AM
0.9695086424548456,ENVIRA,AM
0.757451036048822,FONTE BOA,AM
0.5619363021420518,HUMAITÁ,AM
0.8687096774193548,SANTA ISABEL DO RIO NEGRO,AM
0.9649411764705882,IPIXUNA,AM
0.7171872006131442,ITACOATIARA,AM
0.8683622135271101,ITAPIRANGA,AM
0.8251892635925671,JAPURÁ,AM
0.9357700496806246,JURUÁ,AM
0.7283564588626148,JUTAÍ,AM
0.8982296604430686,LÁBREA,AM
0.7184502923976608,MANACAPURU,AM
0.625358381487783,MANAUS,AM
0.6233443708609272,MANICORÉ,AM
0.8267576386828834,MARAÃ,AM
0.7742576505989894,MAUÉS,AM
0.40505464480874315,NHAMUNDÁ,AM
0.9029860650298607,NOVA OLINDA DO NORTE,AM
0.6453400503778337,NOVO ARIPUANÃ,AM
0.1964600778558826,PARINTINS,AM
0.8986337593653592,PAUINI,AM
0.7179080824088748,SANTO ANTONIO DO IÇÁ,AM
0.8844287026105208,SÃO PAULO DE OLIVENÇA,AM
0.5183991404781091,SILVES,AM
0.9432446007031643,TAPAUÁ,AM
0.8140247178936056,TEFÉ,AM
0.5569389373513085,SÃO GABRIEL DA CACHOEIRA,AM
0.6589159465828751,URUCARÁ,AM
0.7210279618555034,URUCURITUBA,AM
0.7920422070784788,ALVARÃES,AM
0.7953667953667953,AMATURÁ,AM
0.9115018737388296,ANAMÃ,AM
0.9141748459255877,BERURI,AM
0.895329206527856,BOA VISTA DO RAMOS,AM
0.9409963818536042,CAAPIRANGA,AM
0.3819971870604782,CAROEBE,RR
0.3913586497890295,BOA VISTA,RR
0.5432440751000308,IRACEMA,RR
0.5310305288806078,CARACARAÍ,RR
0.4091756807161507,AMAJARÍ,RR
0.5362210604929052,ALTO ALEGRE,RR
0.4375568078531176,CANTÁ,RR
0.48938890309383787,BONFIM,RR
0.5934050772626932,RORAINÓPOLIS,RR
0.6325198196797761,MUCAJAÍ,RR
0.4137648504711184,UIRAMUTÃ,RR
0.22476190476190477,NORMANDIA,RR
0.2731265440570958,PACARAIMA,RR
0.545483870967742,SÃO JOÃO DO BALIZA,RR
0.46887608069164266,SÃO LUIZ DO ANAUÁ,RR
0.5549831081081081,GOIANÉSIA DO PARÁ,PA
0.5202998551835761,ABAETETUBA,PA
0.862226127066059,TAILÂNDIA,PA
0.7798977853492334,ACARÁ,PA
0.7997454391175223,BOM JESUS DO TOCANTINS,PA
0.43557531962201224,AFUÁ,PA
0.6261075751903158,SÃO JOÃO DE PIRABAS,PA
0.39563230066023364,ALENQUER,PA
0.7154004106776181,TUCUMÃ,PA
0.5736689406414177,ALMEIRIM,PA
0.6292912921762193,MÃE DO RIO,PA
0.4102720083427479,ALTAMIRA,PA
0.7746203405430281,ELDORADO DOS CARAJÁS,PA
0.4398315282791817,ANAJÁS,PA
0.6808640468635587,SANTA LUZIA DO PARÁ,PA
0.6258170992168791,ANANINDEUA,PA
0.5207756232686981,PALESTINA DO PARÁ,PA
0.6357553703486325,AUGUSTO CORRÊA,PA
0.3647767802238347,IPIXUNA DO PARÁ,PA
0.437601883716718,AVEIRO,PA
0.37882096069869,JACAREACANGA,PA
0.21301071003570013,BAGRE,PA
0.26760367381018646,BRASIL NOVO,PA
0.7008033901297784,BAIÃO,PA
0.44741057127602774,SANTA BÁRBARA DO PARÁ,PA
0.7430590761339576,BARCARENA,PA
0.919755877034358,ÁGUA AZUL DO NORTE,PA
0.5245594231610956,BELÉM,PA
0.40875754961173427,TRAIRÃO,PA
0.48585479350642485,BENEVIDES,PA
0.5037206639954207,PAU D ARCO,PA
0.367677740330605,BONITO,PA
0.34087801914020965,ULIANÓPOLIS,PA
0.7497068342792814,BRAGANÇA,PA
0.7065205358131297,AURORA DO PARÁ,PA
0.7782937406455079,BREVES,PA
0.754746835443038,TERRA SANTA,PA
0.5716928769657724,BUJARU,PA
0.2874712643678161,NOVO PROGRESSO,PA
0.5310369151187397,CACHOEIRA DO ARARI,PA
0.45553463067587363,VITÓRIA DO XINGU,PA
0.7563299989243842,CAMETÁ,PA
0.4951061105012806,NOVO REPARTIMENTO,PA
0.4206592370627252,CAPANEMA,PA
0.7097094447018334,BREU BRANCO,PA
0.7790151205557826,CAPITÃO POÇO,PA
0.5835414436912831,SÃO DOMINGOS DO ARAGUAIA,PA
0.3538430564804634,CASTANHAL,PA
0.6656862745098039,NOVA ESPERANÇA DO PIRIÁ,PA
0.3088907705334462,CHAVES,PA
0.648105625717566,ABEL FIGUEIREDO,PA
0.6540165671354267,COLARES,PA
0.6326930615444923,CUMARU DO NORTE,PA
0.7132102827190097,CONCEIÇÃO DO ARAGUAIA,PA
0.5800494955263659,TERRA ALTA,PA
0.5567444097138735,CURRALINHO,PA
0.6526249607041811,FLORESTA DO ARAGUAIA,PA
0.4157509157509158,CURUÇÁ,PA
0.8003651856360317,BANNACH,PA
0.9379453681710214,FARO,PA
0.5144611407335595,NOVA IPIXUNA,PA
