Cargo;Município;Nome candidato;Número candidato;Código município;Zona;Votos nominais;Data de carga
Deputado Estadual;RIO DE JANEIRO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;60011;211;134;2025-09-07 03:30:58
Deputado Estadual;VOLTA REDONDA;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;59250;131;42;2025-09-07 03:30:58
Deputado Estadual;NOVA IGUAÇU;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58696;84;35;2025-09-07 03:30:58
Deputado Estadual;DUQUE DE CAXIAS;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58335;78;36;2025-09-07 03:30:58
Deputado Estadual;BELFORD ROXO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58041;155;28;2025-09-07 03:30:58
Deputado Estadual;ARMAÇÃO DOS BÚZIOS;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58408;172;5;2025-09-07 03:30:58
Deputado Estadual;ITABORAÍ;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58378;104;17;2025-09-07 03:30:58
Deputado Estadual;RIO DE JANEIRO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;60011;17;77;2025-09-07 03:30:58
Deputado Estadual;RIO DE JANEIRO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;60011;188;134;2025-09-07 03:30:58
Deputado Estadual;PARACAMBI;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58718;70;0;2025-09-07 03:30:58
Deputado Estadual;RIO DE JANEIRO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;60011;185;327;2025-09-07 03:30:58
Deputado Estadual;VALENÇA;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;59218;111;2;2025-09-07 03:30:58
Deputado Estadual;SUMIDOURO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;59137;64;0;2025-09-07 03:30:58
Deputado Estadual;TERESÓPOLIS;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;59153;195;3;2025-09-07 03:30:58
Deputado Estadual;ITAPERUNA;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58432;107;3;2025-09-07 03:30:58
Deputado Estadual;NILÓPOLIS;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58637;201;35;2025-09-07 03:30:58
Deputado Estadual;CONCEIÇÃO DE MACABU;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58270;51;0;2025-09-07 03:30:58
Deputado Estadual;CAMPOS DOS GOYTACAZES;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58190;76;2;2025-09-07 03:30:58
Deputado Estadual;BARRA DO PIRAÍ;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58050;93;30;2025-09-07 03:30:58
Deputado Estadual;NOVA FRIBURGO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58670;222;4;2025-09-07 03:30:58
Deputado Estadual;TRAJANO DE MORAES;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;59170;51;1;2025-09-07 03:30:58
Deputado Estadual;MACUCO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58386;52;0;2025-09-07 03:30:58
Deputado Estadual;NOVA IGUAÇU;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58696;157;19;2025-09-07 03:30:58
Deputado Estadual;TRÊS RIOS;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;59196;40;0;2025-09-07 03:30:58
Deputado Estadual;RIO DAS OSTRAS;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58203;184;20;2025-09-07 03:30:58
Deputado Estadual;COMENDADOR LEVY GASPARIAN;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58165;40;1;2025-09-07 03:30:58
Deputado Estadual;PORTO REAL;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58327;183;9;2025-09-07 03:30:58
Deputado Estadual;RIO DE JANEIRO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;60011;21;92;2025-09-07 03:30:58
Deputado Estadual;RIO DE JANEIRO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;60011;161;218;2025-09-07 03:30:58
Deputado Estadual;RIO DE JANEIRO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;60011;7;33;2025-09-07 03:30:58
Deputado Estadual;RIO DE JANEIRO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;60011;25;304;2025-09-07 03:30:58
Deputado Estadual;BELFORD ROXO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58041;152;69;2025-09-07 03:30:58
Deputado Estadual;TERESÓPOLIS;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;59153;38;1;2025-09-07 03:30:58
Deputado Estadual;ANGRA DOS REIS;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58017;116;3;2025-09-07 03:30:58
Deputado Estadual;NOVA IGUAÇU;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58696;159;20;2025-09-07 03:30:58
Deputado Estadual;RIO DE JANEIRO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;60011;218;3171;2025-09-07 03:30:58
Deputado Estadual;SÃO GONÇALO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58971;36;19;2025-09-07 03:30:58
Deputado Estadual;PETRÓPOLIS;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58777;29;5;2025-09-07 03:30:58
Deputado Estadual;SÃO JOÃO DA BARRA;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58998;37;2;2025-09-07 03:30:58
Deputado Estadual;RIO DE JANEIRO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;60011;245;104;2025-09-07 03:30:58
Deputado Estadual;CASIMIRO DE ABREU;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58254;50;0;2025-09-07 03:30:58
Deputado Estadual;PARAÍBA DO SUL;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58734;28;0;2025-09-07 03:30:58
Deputado Estadual;CARAPEBUS;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58300;255;0;2025-09-07 03:30:58
Deputado Estadual;MIRACEMA;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58599;112;0;2025-09-07 03:30:58
Deputado Estadual;SÃO JOSÉ DE UBÁ;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58343;107;0;2025-09-07 03:30:58
Deputado Estadual;SÃO FIDÉLIS;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58955;35;0;2025-09-07 03:30:58
Deputado Estadual;APERIBÉ;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58181;34;0;2025-09-07 03:30:58
Deputado Estadual;CABO FRIO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58130;256;10;2025-09-07 03:30:58
Deputado Estadual;SANTA MARIA MADALENA;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58912;60;0;2025-09-07 03:30:58
Deputado Estadual;RIO DE JANEIRO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;60011;4;19;2025-09-07 03:30:58
Deputado Estadual;RIO DE JANEIRO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;60011;118;551;2025-09-07 03:30:58
Deputado Estadual;RIO DE JANEIRO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;60011;120;52;2025-09-07 03:30:58
Deputado Estadual;RIO DE JANEIRO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;60011;123;243;2025-09-07 03:30:58
Deputado Estadual;RIO DE JANEIRO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;60011;204;68;2025-09-07 03:30:58
Deputado Estadual;RIO DAS FLORES;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58890;111;3;2025-09-07 03:30:58
Deputado Estadual;IGUABA GRANDE;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58262;181;1;2025-09-07 03:30:58
Deputado Estadual;DUQUE DE CAXIAS;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58335;128;10;2025-09-07 03:30:58
Deputado Estadual;BARRA MANSA;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58076;91;15;2025-09-07 03:30:58
Deputado Estadual;RIO DE JANEIRO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;60011;246;213;2025-09-07 03:30:58
Deputado Estadual;NITERÓI;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58653;72;16;2025-09-07 03:30:58
Deputado Estadual;AREAL;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58220;174;0;2025-09-07 03:30:58
Deputado Estadual;ITAOCARA;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58416;106;0;2025-09-07 03:30:58
Deputado Estadual;PIRAÍ;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58793;30;1;2025-09-07 03:30:58
Deputado Estadual;ENGENHEIRO PAULO DE FRONTIN;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58351;74;1;2025-09-07 03:30:58
Deputado Estadual;RIO DE JANEIRO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;60011;14;256;2025-09-07 03:30:58
Deputado Estadual;RIO DE JANEIRO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;60011;229;78;2025-09-07 03:30:58
Deputado Estadual;RIO DE JANEIRO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;60011;169;98;2025-09-07 03:30:58
Deputado Estadual;RIO DE JANEIRO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;60011;24;687;2025-09-07 03:30:58
Deputado Estadual;RIO DE JANEIRO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;60011;214;113;2025-09-07 03:30:58
Deputado Estadual;PETRÓPOLIS;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58777;65;2;2025-09-07 03:30:58
Deputado Estadual;NOVA IGUAÇU;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58696;158;82;2025-09-07 03:30:58
Deputado Estadual;ITABORAÍ;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58378;151;10;2025-09-07 03:30:58
Deputado Estadual;DUQUE DE CAXIAS;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58335;79;35;2025-09-07 03:30:58
Deputado Estadual;BOM JARDIM;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58092;42;1;2025-09-07 03:30:58
Deputado Estadual;NOVA IGUAÇU;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58696;156;32;2025-09-07 03:30:58
Deputado Estadual;RIO DE JANEIRO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;60011;233;197;2025-09-07 03:30:58
Deputado Estadual;RIO DE JANEIRO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;60011;22;237;2025-09-07 03:30:58
Deputado Estadual;RIO DE JANEIRO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;60011;192;25;2025-09-07 03:30:58
Deputado Estadual;DUQUE DE CAXIAS;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58335;200;25;2025-09-07 03:30:58
Deputado Estadual;SÃO JOÃO DE MERITI;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;59013;89;32;2025-09-07 03:30:58
Deputado Estadual;NOVA IGUAÇU;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58696;27;13;2025-09-07 03:30:58
Deputado Estadual;RIO DE JANEIRO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;60011;167;235;2025-09-07 03:30:58
Deputado Estadual;RIO DE JANEIRO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;60011;241;109;2025-09-07 03:30:58
Deputado Estadual;PINHEIRAL;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58246;30;2;2025-09-07 03:30:58
Deputado Estadual;TRÊS RIOS;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;59196;174;3;2025-09-07 03:30:58
Deputado Estadual;RESENDE;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58831;31;4;2025-09-07 03:30:58
Deputado Estadual;RIO CLARO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58874;108;0;2025-09-07 03:30:58
Deputado Estadual;PATY DO ALFERES;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;59315;48;0;2025-09-07 03:30:58
Deputado Estadual;CABO FRIO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58130;96;10;2025-09-07 03:30:58
Deputado Estadual;RIO DE JANEIRO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;60011;234;141;2025-09-07 03:30:58
Deputado Estadual;RIO DE JANEIRO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;60011;5;31;2025-09-07 03:30:58
