,nm_municipio,0,sg_uf
129,ALTO TAQUARI,0.10990338164251208,MT
130,ALTOS,0.29382124162222983,PI
131,ALTÔNIA,0.4645957058017359,PR
132,ALUMÍNIO,0.31597185760789664,SP
133,ALVARENGA,0.30577427821522307,MG
134,ALVARÃES,0.12398340248962655,AM
135,ALVINLÂNDIA,0.22070098576122674,SP
136,ALVINÓPOLIS,0.19257927846963666,MG
137,ALVORADA,0.17533798092883227,RS
138,ALVORADA DE MINAS,0.07822808671065033,MG
139,ALVORADA DO GURGUÉIA,0.8152094048493754,PI
140,ALVORADA DO NORTE,0.1898272085665612,GO
141,ALVORADA DO OESTE,0.3838558380646754,RO
142,ALVORADA DO SUL,0.29092416079569,PR
143,ALÉM PARAÍBA,0.48481026540908095,MG
144,AMAJARI,0.1628131021194605,RR
145,AMAMBAI,0.18575690751070179,MS
146,AMAPORÃ,0.1424917793204238,PR
147,AMAPÁ,0.09302325581395349,AP
148,AMAPÁ DO MARANHÃO,0.6677567037279267,MA
149,AMARAJI,0.35529103197821044,PE
150,AMARAL FERRADOR,0.2812227074235808,RS
151,AMARALINA,0.24139756484912653,GO
152,AMARANTE,0.25542141739324836,PI
153,AMARANTE DO MARANHÃO,0.5422970247100353,MA
154,AMARGOSA,0.34176171499244196,BA
155,AMATURÁ,0.04744212632180623,AM
156,AMERICANA,0.17872738314423697,SP
157,AMERICANO DO BRASIL,0.48997058036908264,GO
158,AMETISTA DO SUL,0.13141025641025642,RS
159,AMONTADA,0.08990934759994056,CE
160,AMORINÓPOLIS,0.3614198637504482,GO
161,AMPARO,0.501195072623644,PB
162,AMPARO DE SÃO FRANCISCO,0.36972972972972973,SE
163,AMPARO DO SERRA,0.04625407166123779,MG
164,AMPÉRE,0.28044088593116356,PR
165,AMÉLIA RODRIGUES,0.4131667467563671,BA
166,AMÉRICA DOURADA,0.19629078110193585,BA
167,AMÉRICO BRASILIENSE,0.2850642562872779,SP
168,AMÉRICO DE CAMPOS,0.4872554831061055,SP
169,ANADIA,0.17820727438746006,AL
170,ANAGÉ,0.3498916184971098,BA
171,ANAHY,0.27468487394957986,PR
172,ANAJATUBA,0.17570322054626988,MA
173,ANAJÁS,0.20330123796423658,PA
174,ANALÂNDIA,0.3820270824784571,SP
175,ANAMÃ,0.08400900900900901,AM
176,ANANINDEUA,0.09026554888296885,PA
177,ANANÁS,0.3874356333676622,TO
178,ANAPU,0.020698282724894802,PA
179,ANAPURUS,0.10858486867894943,MA
180,ANASTÁCIO,0.13535269709543568,MS
181,ANAURILÂNDIA,0.35644257703081234,MS
182,ANCHIETA,0.07912600763682648,ES
183,ANDARAÍ,0.03920863309352518,BA
184,ANDIRÁ,0.37790580149585606,PR
185,ANDORINHA,0.24767472761094872,BA
186,ANDRADAS,0.018846549948506694,MG
187,ANDRADINA,0.20482817171754458,SP
188,ANDRELÂNDIA,0.035794570292235865,MG
189,ANDRÉ DA ROCHA,0.3193384223918575,RS
190,ANGATUBA,0.4881364969341509,SP
191,ANGELIM,0.2039307258221444,PE
192,ANGELINA,0.3944903581267218,SC
193,ANGELÂNDIA,0.2144072603516733,MG
194,ANGICAL,0.28679988741908247,BA
195,ANGICAL DO PIAUÍ,0.3807072515666965,PI
196,ANGICO,0.6072829131652661,TO
197,ANGICOS,0.22628726287262874,RN
198,ANGRA DOS REIS,0.5223057902328456,RJ
