Municipio,Total,UF
Rolândia,95.15,PR
Roncador,88.07,PR
Rondon,92.4,PR
Rosário do Ivaí,85.89,PR
Sabáudia,94.56,PR
Salgado Filho,91.62,PR
Salto do Itararé,89.05,PR
Salto do Lontra,93.24,PR
Santa Amélia,91.71,PR
Santa Cecília do Pavão,86.48,PR
Santa Cruz de Monte Castelo,91.47,PR
Santa Fé,93.77,PR
Santa Helena,94.47,PR
Santa Inês,92.0,PR
Santa Isabel do Ivaí,92.57,PR
Santa Izabel do Oeste,94.24,PR
Santa Lúcia,93.47,PR
Santa Maria do Oeste,90.17,PR
Santa Mariana,90.09,PR
Santa Mônica,89.21,PR
Santana do Itararé,88.76,PR
Santa Tereza do Oeste,94.15,PR
Santa Terezinha de Itaipu,94.73,PR
Santo Antônio da Platina,93.55,PR
Santo Antônio do Caiuá,88.92,PR
Santo Antônio do Paraíso,89.67,PR
Santo Antônio do Sudoeste,92.03,PR
Santo Inácio,94.08,PR
São Carlos do Ivaí,92.29,PR
São Jerônimo da Serra,85.48,PR
São João,95.15,PR
São João do Caiuá,87.51,PR
São João do Ivaí,88.12,PR
São João do Triunfo,93.7,PR
São Jorge d'Oeste,93.9,PR
São Jorge do Ivaí,92.54,PR
São Jorge do Patrocínio,90.43,PR
São José da Boa Vista,92.78,PR
São José das Palmeiras,88.96,PR
São José dos Pinhais,97.64,PR
São Manoel do Paraná,89.51,PR
São Mateus do Sul,96.76,PR
São Miguel do Iguaçu,93.73,PR
São Pedro do Iguaçu,91.19,PR
São Pedro do Ivaí,90.48,PR
São Pedro do Paraná,91.81,PR
São Sebastião da Amoreira,88.21,PR
São Tomé,93.88,PR
Sapopema,87.78,PR
Sarandi,95.92,PR
Saudade do Iguaçu,92.69,PR
Sengés,93.0,PR
Serranópolis do Iguaçu,95.42,PR
Sertaneja,93.14,PR
Sertanópolis,94.84,PR
Siqueira Campos,94.26,PR
Sulina,94.21,PR
Tamarana,89.25,PR
Tamboara,91.64,PR
Tapejara,92.69,PR
Tapira,87.71,PR
Teixeira Soares,95.57,PR
Telêmaco Borba,95.88,PR
Terra Boa,92.98,PR
Terra Rica,92.2,PR
Terra Roxa,93.01,PR
Tibagi,93.18,PR
Tijucas do Sul,94.62,PR
Toledo,96.6,PR
Tomazina,90.92,PR
Três Barras do Paraná,90.17,PR
Tunas do Paraná,87.5,PR
Tuneiras do Oeste,89.35,PR
Tupãssi,92.55,PR
Turvo,91.87,PR
Ubiratã,93.5,PR
Umuarama,95.81,PR
União da Vitória,97.39,PR
Uniflor,91.04,PR
Uraí,91.68,PR
Wenceslau Braz,93.04,PR
Ventania,90.14,PR
Vera Cruz do Oeste,90.4,PR
Verê,93.32,PR
Alto Paraíso,88.61,PR
Doutor Ulysses,86.55,PR
Virmond,93.15,PR
Vitorino,95.58,PR
Xambrê,91.01,PR
Angra dos Reis,95.58,RJ
Aperibé,93.66,RJ
Araruama,95.33,RJ
Areal,94.51,RJ
Armação dos Búzios,97.21,RJ
Arraial do Cabo,96.82,RJ
Barra do Piraí,96.41,RJ
Barra Mansa,96.95,RJ
Belford Roxo,96.4,RJ
Bom Jardim,92.0,RJ
Bom Jesus do Itabapoana,92.73,RJ
Cabo Frio,96.66,RJ
Cachoeiras de Macacu,93.85,RJ
Cambuci,90.64,RJ
Carapebus,93.71,RJ
Comendador Levy Gasparian,95.38,RJ
Campos dos Goytacazes,95.06,RJ
Cantagalo,93.11,RJ
Cardoso Moreira,89.01,RJ
Carmo,93.78,RJ
Casimiro de Abreu,95.57,RJ
Conceição de Macabu,92.45,RJ
Cordeiro,95.73,RJ
Duas Barras,89.58,RJ
Duque de Caxias,96.23,RJ
Engenheiro Paulo de Frontin,94.98,RJ
Guapimirim,95.21,RJ
Iguaba Grande,96.84,RJ
Itaboraí,94.85,RJ
Itaguaí,95.84,RJ
Italva,91.11,RJ
Itaocara,92.26,RJ
Itaperuna,94.01,RJ
Itatiaia,95.81,RJ
Japeri,94.42,RJ
Laje do Muriaé,91.22,RJ
Macaé,96.55,RJ
Macuco,94.28,RJ
Magé,95.52,RJ
Mangaratiba,96.59,RJ
Maricá,97.34,RJ
Mendes,96.66,RJ
Mesquita,97.63,RJ
Miguel Pereira,95.93,RJ
Miracema,92.69,RJ
Natividade,92.78,RJ
Nilópolis,98.08,RJ
Niterói,98.23,RJ
Nova Friburgo,96.39,RJ
Nova Iguaçu,96.35,RJ
Paracambi,96.55,RJ
Paraíba do Sul,95.33,RJ
Paraty,95.29,RJ
Paty do Alferes,91.21,RJ
Petrópolis,97.05,RJ
Pinheiral,96.34,RJ
Piraí,94.33,RJ
Porciúncula,91.47,RJ
Porto Real,95.88,RJ
Quatis,94.87,RJ
Queimados,96.24,RJ
Quissamã,92.61,RJ
Resende,96.76,RJ
Rio Bonito,94.78,RJ
Rio Claro,91.59,RJ
Rio das Flores,92.47,RJ
Rio das Ostras,97.36,RJ
Rio de Janeiro,97.67,RJ
Santa Maria Madalena,89.66,RJ
Santo Antônio de Pádua,93.09,RJ
São Francisco de Itabapoana,86.7,RJ
São Fidélis,92.18,RJ
São Gonçalo,96.98,RJ
São João da Barra,94.31,RJ
São João de Meriti,97.62,RJ
São José de Ubá,89.86,RJ
São José do Vale do Rio Preto,93.61,RJ
São Pedro da Aldeia,96.09,RJ
São Sebastião do Alto,89.02,RJ
Sapucaia,91.83,RJ
Saquarema,95.73,RJ
Seropédica,95.33,RJ
Silva Jardim,90.44,RJ
Sumidouro,88.25,RJ
Tanguá,93.66,RJ
Teresópolis,95.07,RJ
Trajano de Moraes,89.02,RJ
Três Rios,96.53,RJ
Valença,95.31,RJ
Varre-Sai,89.76,RJ
Vassouras,94.54,RJ
Volta Redonda,97.63,RJ
Acari,86.81,RN
Açu,82.33,RN
Afonso Bezerra,77.37,RN
Água Nova,79.08,RN
Alexandria,77.58,RN
Almino Afonso,78.46,RN
Alto do Rodrigues,83.87,RN
Angicos,80.71,RN
Antônio Martins,78.17,RN
Apodi,79.54,RN
Areia Branca,87.91,RN
Arês,79.03,RN
Campo Grande,76.35,RN
Baía Formosa,82.88,RN
Baraúna,79.42,RN
Barcelona,78.66,RN
Bento Fernandes,78.92,RN
Bodó,78.92,RN
Bom Jesus,79.41,RN
Brejinho,78.9,RN
Caiçara do Norte,82.36,RN
Caiçara do Rio do Vento,79.17,RN
Caicó,88.92,RN
Campo Redondo,82.43,RN
Canguaretama,80.65,RN
Caraúbas,80.14,RN
Carnaúba dos Dantas,88.71,RN
Carnaubais,80.26,RN
Ceará-Mirim,84.02,RN
Cerro Corá,78.67,RN
Coronel Ezequiel,77.07,RN
Coronel João Pessoa,72.69,RN
Cruzeta,84.32,RN
Currais Novos,86.43,RN
Doutor Severiano,77.91,RN
Parnamirim,94.91,RN
Encanto,81.19,RN
Equador,82.1,RN
Espírito Santo,72.71,RN
Extremoz,91.38,RN
Felipe Guerra,82.62,RN
Fernando Pedroza,76.68,RN
Florânia,83.48,RN
Francisco Dantas,78.1,RN
Frutuoso Gomes,79.77,RN
Galinhos,78.4,RN
Goianinha,84.51,RN
Governador Dix-Sept Rosado,80.62,RN
Grossos,82.24,RN
Guamaré,83.96,RN
Ielmo Marinho,74.81,RN
Ipanguaçu,77.77,RN
Ipueira,86.53,RN
Itajá,80.76,RN
Itaú,80.31,RN
Jaçanã,79.82,RN
Jandaíra,77.2,RN
Janduís,77.28,RN
Januário Cicco,72.17,RN
Japi,75.38,RN
Jardim de Angicos,78.59,RN
Jardim de Piranhas,80.34,RN
Jardim do Seridó,83.93,RN
João Câmara,79.85,RN
João Dias,77.94,RN
José da Penha,77.13,RN
Jucurutu,76.4,RN
Jundiá,75.47,RN
Lagoa d'Anta,75.62,RN
Lagoa de Pedras,70.97,RN
Lagoa de Velhos,81.23,RN
Lagoa Nova,80.58,RN
Lagoa Salgada,74.91,RN
Lajes,81.81,RN
Lajes Pintadas,78.35,RN
Lucrécia,82.49,RN
Luís Gomes,78.21,RN
Macaíba,84.59,RN
Macau,85.08,RN
Major Sales,78.4,RN
Marcelino Vieira,74.46,RN
Martins,84.63,RN
Maxaranguape,81.59,RN
Messias Targino,75.88,RN
Montanhas,77.89,RN
Monte Alegre,79.38,RN
Monte das Gameleiras,77.86,RN
Mossoró,89.96,RN
Natal,93.36,RN
Nísia Floresta,85.91,RN
Nova Cruz,76.47,RN
Olho d'Água do Borges,74.85,RN
Ouro Branco,83.92,RN
Paraná,75.99,RN
Paraú,76.81,RN
Parazinho,76.88,RN
Parelhas,87.63,RN
Rio do Fogo,80.88,RN
Passa e Fica,77.74,RN
Passagem,78.91,RN
Patu,78.92,RN
Santa Maria,78.76,RN
Pau dos Ferros,87.04,RN
Pedra Grande,76.65,RN
Pedra Preta,75.4,RN
Pedro Avelino,75.57,RN
Pedro Velho,78.06,RN
Pendências,82.48,RN
Pilões,78.69,RN
Poço Branco,76.94,RN
Portalegre,81.03,RN
Porto do Mangue,76.11,RN
Serra Caiada,76.17,RN
Pureza,77.61,RN
Rafael Fernandes,80.76,RN
Rafael Godeiro,80.21,RN
Riacho da Cruz,74.4,RN
Riacho de Santana,79.67,RN
Riachuelo,79.5,RN
Rodolfo Fernandes,77.61,RN
Tibau,86.67,RN
Ruy Barbosa,77.53,RN
Santa Cruz,81.72,RN
Santana do Matos,74.36,RN
Santana do Seridó,86.09,RN
Santo Antônio,76.85,RN
São Bento do Norte,80.63,RN
São Bento do Trairí,76.12,RN
São Fernando,78.96,RN
São Francisco do Oeste,78.37,RN
São Gonçalo do Amarante,89.82,RN
São João do Sabugi,85.02,RN
São José de Mipibu,83.61,RN
São José do Campestre,77.5,RN
São José do Seridó,88.88,RN
São Miguel,76.13,RN
São Miguel do Gostoso,80.87,RN
São Paulo do Potengi,81.12,RN
São Pedro,79.28,RN
São Rafael,78.5,RN
São Tomé,77.75,RN
São Vicente,82.88,RN
Senador Elói de Souza,75.07,RN
Senador Georgino Avelino,82.15,RN
Serra de São Bento,72.96,RN
Serra do Mel,81.58,RN
Serra Negra do Norte,78.85,RN
Serrinha,74.03,RN
Serrinha dos Pintos,79.38,RN
Severiano Melo,78.12,RN
Sítio Novo,76.05,RN
Taboleiro Grande,83.19,RN
Taipu,74.57,RN
Tangará,79.61,RN
Tenente Ananias,77.85,RN
Tenente Laurentino Cruz,81.76,RN
Tibau do Sul,88.14,RN
Timbaúba dos Batistas,82.97,RN
Touros,77.92,RN
Triunfo Potiguar,74.69,RN
Umarizal,82.12,RN
Upanema,77.77,RN
Várzea,76.85,RN
Venha-Ver,70.81,RN
Vera Cruz,76.6,RN
Viçosa,80.75,RN
Vila Flor,79.54,RN
Alta Floresta D'Oeste,91.59,RO
Ariquemes,94.08,RO
Cabixi,89.82,RO
Cacoal,93.71,RO
Cerejeiras,92.15,RO
Colorado do Oeste,90.47,RO
Corumbiara,91.52,RO
Costa Marques,92.92,RO
Espigão D'Oeste,92.01,RO
Guajará-Mirim,94.16,RO
Jaru,92.39,RO
Ji-Paraná,94.37,RO
Machadinho D'Oeste,91.65,RO
Nova Brasilândia D'Oeste,91.36,RO
Ouro Preto do Oeste,92.81,RO
Pimenta Bueno,93.24,RO
Porto Velho,95.64,RO
Presidente Médici,92.38,RO
Rio Crespo,92.17,RO
Rolim de Moura,93.5,RO
Santa Luzia D'Oeste,90.45,RO
Vilhena,95.25,RO
São Miguel do Guaporé,92.68,RO
Nova Mamoré,90.69,RO
Alvorada D'Oeste,88.53,RO
Alto Alegre dos Parecis,90.79,RO
Alto Paraíso,91.73,RO
Buritis,92.46,RO
Novo Horizonte do Oeste,90.03,RO
Cacaulândia,88.08,RO
Campo Novo de Rondônia,90.46,RO
Candeias do Jamari,91.87,RO
Castanheiras,89.81,RO
Chupinguaia,92.64,RO
Cujubim,92.34,RO
Governador Jorge Teixeira,89.21,RO
Itapuã do Oeste,90.31,RO
Ministro Andreazza,88.99,RO
Mirante da Serra,89.07,RO
Monte Negro,89.15,RO
Nova União,89.7,RO
Parecis,89.53,RO
Pimenteiras do Oeste,93.15,RO
Primavera de Rondônia,87.46,RO
São Felipe D'Oeste,89.81,RO
São Francisco do Guaporé,91.86,RO
Seringueiras,92.73,RO
Teixeirópolis,89.96,RO
Theobroma,88.38,RO
Urupá,90.24,RO
Vale do Anari,88.35,RO
Vale do Paraíso,89.5,RO
Amajari,68.17,RR
Alto Alegre,63.19,RR
Boa Vista,96.43,RR
Bonfim,91.31,RR
Cantá,90.81,RR
Caracaraí,87.01,RR
Caroebe,91.69,RR
Iracema,79.97,RR
Mucajaí,87.67,RR
Normandia,91.82,RR
Pacaraima,94.09,RR
Rorainópolis,90.5,RR
São João da Baliza,90.37,RR
São Luiz,90.0,RR
Uiramutã,87.53,RR
Aceguá,96.41,RS
Água Santa,96.04,RS
Agudo,95.48,RS
Ajuricaba,96.92,RS
Alecrim,94.27,RS
Alegrete,95.79,RS
Alegria,93.8,RS
Almirante Tamandaré do Sul,97.14,RS
Alpestre,91.43,RS
Alto Alegre,95.06,RS
Alto Feliz,98.44,RS
Alvorada,97.38,RS
Amaral Ferrador,93.03,RS
Ametista do Sul,92.6,RS
André da Rocha,95.67,RS
Anta Gorda,97.05,RS
Antônio Prado,96.9,RS
Arambaré,94.57,RS
Araricá,96.97,RS
Aratiba,96.86,RS
Arroio do Meio,98.35,RS
Arroio do Sal,97.76,RS
Arroio do Padre,96.65,RS
Arroio dos Ratos,95.58,RS
Arroio do Tigre,94.2,RS
Arroio Grande,94.29,RS
Arvorezinha,95.31,RS
Augusto Pestana,97.32,RS
Áurea,97.24,RS
Bagé,96.54,RS
Balneário Pinhal,95.82,RS
Barão,97.41,RS
Barão de Cotegipe,96.92,RS
Barão do Triunfo,92.18,RS
Barracão,93.7,RS
Barra do Guarita,93.83,RS
Barra do Quaraí,95.75,RS
Barra do Ribeiro,94.95,RS
Barra do Rio Azul,95.63,RS
Barra Funda,96.64,RS
Barros Cassal,88.43,RS
Benjamin Constant do Sul,88.14,RS
Bento Gonçalves,98.39,RS
Boa Vista das Missões,95.4,RS
Boa Vista do Buricá,98.18,RS
Boa Vista do Cadeado,96.12,RS
Boa Vista do Incra,97.02,RS
Boa Vista do Sul,95.62,RS
Bom Jesus,93.64,RS
Bom Princípio,98.72,RS
Bom Progresso,91.69,RS
Bom Retiro do Sul,97.04,RS
Boqueirão do Leão,92.28,RS
Bossoroca,92.75,RS
Bozano,96.31,RS
Braga,91.23,RS
Brochier,96.45,RS
Butiá,94.66,RS
Caçapava do Sul,94.26,RS
Cacequi,93.81,RS
Cachoeira do Sul,95.21,RS
Cachoeirinha,98.19,RS
Cacique Doble,93.97,RS
Caibaté,95.91,RS
Caiçara,95.65,RS
Camaquã,95.2,RS
Camargo,96.27,RS
Cambará do Sul,96.35,RS
Campestre da Serra,95.93,RS
Campina das Missões,97.88,RS
Campinas do Sul,95.77,RS
Campo Bom,98.18,RS
Campo Novo,91.82,RS
Campos Borges,93.49,RS
Candelária,94.11,RS
Cândido Godói,97.13,RS
Candiota,95.51,RS
Canela,97.54,RS
Canguçu,93.95,RS
Canoas,98.19,RS
Canudos do Vale,93.33,RS
Capão Bonito do Sul,93.52,RS
Capão da Canoa,97.74,RS
Capão do Cipó,97.02,RS
Capão do Leão,95.1,RS
Capivari do Sul,95.74,RS
Capela de Santana,95.56,RS
Capitão,96.11,RS
Carazinho,97.12,RS
Caraá,92.81,RS
Carlos Barbosa,98.11,RS
Carlos Gomes,97.23,RS
Casca,97.77,RS
Caseiros,94.25,RS
Catuípe,95.79,RS
Caxias do Sul,98.36,RS
Centenário,97.82,RS
Cerrito,92.45,RS
Cerro Branco,90.5,RS
Cerro Grande,88.71,RS
Cerro Grande do Sul,92.98,RS
Cerro Largo,97.05,RS
Chapada,96.74,RS
Charqueadas,96.96,RS
Charrua,93.73,RS
Chiapetta,95.4,RS
Chuí,98.36,RS
Chuvisca,92.97,RS
Cidreira,96.78,RS
Ciríaco,96.08,RS
Colinas,98.3,RS
Colorado,95.92,RS
Condor,95.94,RS
Constantina,95.61,RS
Coqueiro Baixo,95.13,RS
Coqueiros do Sul,96.28,RS
Coronel Barros,98.03,RS
Coronel Bicaco,91.47,RS
Coronel Pilar,97.0,RS
Cotiporã,97.78,RS
Coxilha,95.97,RS
Crissiumal,96.42,RS
Cristal,92.82,RS
Cristal do Sul,91.81,RS
Cruz Alta,96.53,RS
Cruzaltense,93.97,RS
Cruzeiro do Sul,96.98,RS
David Canabarro,95.7,RS
Derrubadas,93.32,RS
Dezesseis de Novembro,90.78,RS
Dilermando de Aguiar,90.52,RS
Dois Irmãos,98.63,RS
Dois Irmãos das Missões,89.79,RS
Dois Lajeados,96.9,RS
Dom Feliciano,91.41,RS
Dom Pedro de Alcântara,97.04,RS
Dom Pedrito,95.65,RS
Dona Francisca,96.6,RS
Doutor Maurício Cardoso,96.25,RS
Doutor Ricardo,97.63,RS
Eldorado do Sul,96.49,RS
Encantado,97.05,RS
Encruzilhada do Sul,92.81,RS
Engenho Velho,92.45,RS
Entre-Ijuís,95.7,RS
Entre Rios do Sul,93.13,RS
Erebango,95.13,RS
Erechim,97.8,RS
Ernestina,97.48,RS
Herval,95.0,RS
Erval Grande,91.2,RS
Erval Seco,92.88,RS
Esmeralda,94.04,RS
Esperança do Sul,93.54,RS
Espumoso,95.14,RS
Estação,97.64,RS
Estância Velha,98.38,RS
Esteio,98.03,RS
Estrela,97.99,RS
Estrela Velha,95.42,RS
Eugênio de Castro,95.58,RS
Fagundes Varela,97.57,RS
Farroupilha,98.09,RS
Faxinal do Soturno,96.64,RS
Faxinalzinho,92.05,RS
Fazenda Vilanova,95.57,RS
Feliz,98.64,RS
Flores da Cunha,97.89,RS
Floriano Peixoto,95.96,RS
Fontoura Xavier,88.55,RS
Formigueiro,91.81,RS
Forquetinha,94.49,RS
Fortaleza dos Valos,95.87,RS
Frederico Westphalen,96.6,RS
Garibaldi,98.11,RS
Garruchos,90.97,RS
Gaurama,96.71,RS
General Câmara,94.27,RS
Gentil,95.17,RS
Getúlio Vargas,96.98,RS
Giruá,95.45,RS
Glorinha,95.64,RS
Gramado,98.52,RS
Gramado dos Loureiros,86.7,RS
Gramado Xavier,91.73,RS
Gravataí,97.59,RS
Guabiju,96.68,RS
Guaíba,97.68,RS
Guaporé,97.44,RS
Guarani das Missões,95.6,RS
Harmonia,98.6,RS
Herveiras,92.09,RS
Horizontina,97.69,RS
Hulha Negra,93.84,RS
Humaitá,96.95,RS
Ibarama,93.58,RS
Ibiaçá,96.41,RS
Ibiraiaras,95.48,RS
Ibirapuitã,92.91,RS
Ibirubá,97.77,RS
Igrejinha,97.61,RS
Ijuí,97.11,RS
Ilópolis,94.63,RS
Imbé,97.86,RS
Imigrante,98.14,RS
Independência,95.63,RS
Inhacorá,90.72,RS
Ipê,95.52,RS
Ipiranga do Sul,95.94,RS
Iraí,92.0,RS
Itaara,96.27,RS
Itacurubi,93.64,RS
Itapuca,91.36,RS
Itaqui,95.37,RS
Itati,93.67,RS
Itatiba do Sul,95.22,RS
Ivorá,94.51,RS
Ivoti,98.36,RS
Jaboticaba,89.96,RS
Jacuizinho,89.9,RS
Jacutinga,95.16,RS
Jaguarão,95.76,RS
Jaguari,96.07,RS
Jaquirana,92.04,RS
Jari,94.72,RS
Jóia,94.49,RS
Júlio de Castilhos,95.7,RS
Lagoa Bonita do Sul,91.59,RS
Lagoão,83.64,RS
Lagoa dos Três Cantos,98.61,RS
Lagoa Vermelha,96.09,RS
Lajeado,97.76,RS
Lajeado do Bugre,87.99,RS
Lavras do Sul,93.56,RS
Liberato Salzano,90.79,RS
Lindolfo Collor,97.04,RS
Linha Nova,97.69,RS
Machadinho,93.32,RS
Maçambará,93.92,RS
Mampituba,92.56,RS
Manoel Viana,94.17,RS
Maquiné,95.33,RS
Maratá,96.67,RS
Marau,98.02,RS
Marcelino Ramos,95.93,RS
Mariana Pimentel,93.45,RS
Mariano Moro,94.23,RS
Marques de Souza,95.62,RS
Mata,95.49,RS
Mato Castelhano,94.93,RS
Mato Leitão,96.67,RS
Mato Queimado,96.89,RS
Maximiliano de Almeida,95.15,RS
Minas do Leão,94.33,RS
Miraguaí,94.19,RS
Montauri,93.91,RS
Monte Alegre dos Campos,92.4,RS
Monte Belo do Sul,98.62,RS
Montenegro,97.14,RS
Mormaço,93.47,RS
Morrinhos do Sul,97.17,RS
Morro Redondo,94.17,RS
Morro Reuter,98.48,RS
Mostardas,92.48,RS
Muçum,96.05,RS
Muitos Capões,96.56,RS
Muliterno,94.4,RS
Não-Me-Toque,97.37,RS
Nicolau Vergueiro,95.87,RS
Nonoai,91.62,RS
Nova Alvorada,95.14,RS
Nova Araçá,98.41,RS
Nova Bassano,98.41,RS
Nova Boa Vista,98.35,RS
Nova Bréscia,97.96,RS
Nova Candelária,97.9,RS
Nova Esperança do Sul,96.7,RS
Nova Hartz,96.83,RS
Nova Pádua,97.85,RS
Nova Palma,97.67,RS
Nova Petrópolis,98.62,RS
Nova Prata,97.95,RS
Nova Ramada,96.26,RS
Nova Roma do Sul,97.38,RS
Nova Santa Rita,97.03,RS
Novo Cabrais,94.73,RS
Novo Hamburgo,97.75,RS
Novo Machado,95.05,RS
Novo Tiradentes,92.38,RS
Novo Xingu,95.48,RS
Novo Barreiro,92.86,RS
Osório,97.21,RS
Paim Filho,95.77,RS
Palmares do Sul,94.86,RS
Palmeira das Missões,93.7,RS
Palmitinho,93.0,RS
Panambi,97.91,RS
Pantano Grande,92.7,RS
Paraí,98.25,RS
Paraíso do Sul,94.13,RS
Pareci Novo,98.1,RS
Parobé,96.68,RS
Passa Sete,91.18,RS
Passo do Sobrado,96.04,RS
Passo Fundo,97.54,RS
Paulo Bento,96.74,RS
Paverama,96.21,RS
Pedras Altas,93.23,RS
Pedro Osório,93.6,RS
Pejuçara,97.0,RS
Pelotas,97.19,RS
Picada Café,98.56,RS
Pinhal,92.38,RS
Pinhal da Serra,93.26,RS
Pinhal Grande,94.86,RS
Pinheirinho do Vale,91.61,RS
Pinheiro Machado,93.01,RS
Pinto Bandeira,97.63,RS
Pirapó,90.13,RS
Piratini,92.85,RS
Planalto,92.17,RS
Poço das Antas,97.87,RS
Pontão,96.17,RS
Ponte Preta,95.98,RS
Portão,97.09,RS
Porto Alegre,98.26,RS
Porto Lucena,92.98,RS
Porto Mauá,94.89,RS
Porto Vera Cruz,92.49,RS
Porto Xavier,93.36,RS
Pouso Novo,91.81,RS
Presidente Lucena,97.79,RS
Progresso,92.4,RS
Protásio Alves,95.23,RS
Putinga,95.31,RS
Quaraí,96.17,RS
Quatro Irmãos,94.33,RS
Quevedos,93.61,RS
Quinze de Novembro,97.58,RS
Redentora,90.72,RS
Relvado,96.53,RS
Restinga Sêca,94.78,RS
Rio dos Índios,89.8,RS
Rio Grande,96.74,RS
Rio Pardo,94.31,RS
Riozinho,93.56,RS
Roca Sales,97.6,RS
Rodeio Bonito,94.61,RS
Rolador,93.67,RS
Rolante,95.95,RS
Ronda Alta,94.41,RS
Rondinha,96.06,RS
Roque Gonzales,94.57,RS
Rosário do Sul,95.07,RS
Sagrada Família,93.07,RS
Saldanha Marinho,96.47,RS
Salto do Jacuí,93.35,RS
Salvador das Missões,98.66,RS
Salvador do Sul,97.94,RS
Sananduva,96.72,RS
Santa Bárbara do Sul,95.85,RS
Santa Cecília do Sul,95.65,RS
Santa Clara do Sul,97.87,RS
Santa Cruz do Sul,97.75,RS
Santa Maria,97.9,RS
Santa Maria do Herval,97.95,RS
Santa Margarida do Sul,90.97,RS
Santana da Boa Vista,91.64,RS
Sant'Ana do Livramento,97.12,RS
Santa Rosa,97.61,RS
Santa Tereza,97.86,RS
Santa Vitória do Palmar,95.91,RS
Santiago,96.73,RS
Santo Ângelo,97.07,RS
Santo Antônio do Palma,96.58,RS
Santo Antônio da Patrulha,94.26,RS
Santo Antônio das Missões,92.91,RS
Santo Antônio do Planalto,96.57,RS
Santo Augusto,93.96,RS
Santo Cristo,97.54,RS
Santo Expedito do Sul,92.77,RS
São Borja,94.88,RS
São Domingos do Sul,97.44,RS
São Francisco de Assis,93.38,RS
São Francisco de Paula,95.24,RS
São Gabriel,94.23,RS
São Jerônimo,94.36,RS
São João da Urtiga,93.95,RS
São João do Polêsine,97.62,RS
São Jorge,97.61,RS
São José das Missões,92.21,RS
São José do Herval,89.77,RS
São José do Hortêncio,98.27,RS
São José do Inhacorá,97.24,RS
São José do Norte,88.26,RS
São José do Ouro,94.85,RS
São José do Sul,98.2,RS
São José dos Ausentes,96.12,RS
São Leopoldo,97.62,RS
São Lourenço do Sul,96.05,RS
São Luiz Gonzaga,95.7,RS
São Marcos,97.96,RS
São Martinho,95.94,RS
São Martinho da Serra,92.53,RS
São Miguel das Missões,94.84,RS
São Nicolau,89.74,RS
São Paulo das Missões,94.97,RS
São Pedro da Serra,97.32,RS
São Pedro das Missões,91.63,RS
São Pedro do Butiá,98.11,RS
São Pedro do Sul,96.23,RS
São Sebastião do Caí,97.0,RS
São Sepé,94.47,RS
São Valentim,92.08,RS
São Valentim do Sul,98.31,RS
São Valério do Sul,90.71,RS
São Vendelino,98.67,RS
São Vicente do Sul,95.49,RS
Sapiranga,97.24,RS
Sapucaia do Sul,97.36,RS
Sarandi,96.98,RS
Seberi,95.13,RS
Sede Nova,93.13,RS
Segredo,91.67,RS
Selbach,97.21,RS
Senador Salgado Filho,95.33,RS
Sentinela do Sul,93.63,RS
Serafina Corrêa,97.85,RS
Sério,90.83,RS
Sertão,96.93,RS
Sertão Santana,95.31,RS
Sete de Setembro,95.72,RS
Severiano de Almeida,96.74,RS
Silveira Martins,96.33,RS
Sinimbu,94.46,RS
Sobradinho,95.28,RS
Soledade,94.51,RS
Tabaí,94.66,RS
Tapejara,97.71,RS
Tapera,95.44,RS
Tapes,94.33,RS
Taquara,96.73,RS
Taquari,95.49,RS
Taquaruçu do Sul,94.87,RS
Tavares,91.49,RS
Tenente Portela,94.24,RS
Terra de Areia,95.46,RS
Teutônia,98.63,RS
Tio Hugo,96.42,RS
Tiradentes do Sul,94.01,RS
Toropi,95.88,RS
Torres,97.16,RS
Tramandaí,97.57,RS
Travesseiro,97.19,RS
Três Arroios,97.08,RS
Três Cachoeiras,96.74,RS
Três Coroas,96.84,RS
Três de Maio,97.05,RS
Três Forquilhas,92.26,RS
Três Palmeiras,93.72,RS
Três Passos,96.49,RS
Trindade do Sul,93.11,RS
Triunfo,95.68,RS
Tucunduva,96.21,RS
Tunas,85.05,RS
Tupanci do Sul,94.05,RS
Tupanciretã,95.42,RS
Tupandi,98.48,RS
Tuparendi,96.85,RS
Turuçu,94.24,RS
Ubiretama,96.71,RS
União da Serra,96.81,RS
Unistalda,93.82,RS
Uruguaiana,97.13,RS
Vacaria,97.01,RS
Vale Verde,93.52,RS
Vale do Sol,95.01,RS
Vale Real,98.21,RS
Vanini,95.11,RS
Venâncio Aires,96.35,RS
Vera Cruz,96.94,RS
Veranópolis,98.37,RS
Vespasiano Corrêa,95.95,RS
Viadutos,95.57,RS
Viamão,97.1,RS
Vicente Dutra,91.75,RS
Victor Graeff,98.04,RS
Vila Flores,97.46,RS
Vila Lângaro,96.0,RS
Vila Maria,96.3,RS
Vila Nova do Sul,93.97,RS
Vista Alegre,94.49,RS
Vista Alegre do Prata,97.93,RS
Vista Gaúcha,95.96,RS
Vitória das Missões,93.28,RS
Westfália,98.95,RS
Xangri-lá,97.99,RS
Abdon Batista,93.45,SC
Abelardo Luz,92.66,SC
Agrolândia,97.11,SC
Agronômica,97.48,SC
Água Doce,95.88,SC
Águas de Chapecó,92.52,SC
Águas Frias,94.84,SC
Águas Mornas,95.34,SC
Alfredo Wagner,94.01,SC
Alto Bela Vista,97.84,SC
Anchieta,92.62,SC
Angelina,93.12,SC
Anita Garibaldi,91.4,SC
