"","index_centrao","NM_MUNICIPIO.x","SG_UF","Year","NM_MUNICIPIO_norm","row_id","codigo_do_municipio","NM_MUNICIPIO.y","codigo_da_microrregiao","nome_da_microrregiao","semiarido","vab_agro","vab_ind","vab_serv","vab_pub","vab_total","impostos_liquidos_de_subsidios_sobre_produtos_a_precos_correntes_r_1_000","pib","pib_per_capita","SG_UF.x","Year.x","NM_MUNICIPIO_norm.x","Year.y","SG_UF.y","NM_MUNICIPIO_norm.y"
"208",0.304,"CACHOEIRA DO PIRIA","PA","2002","CACHOEIRA DO PIRIA",219,1501956,"Cachoeira do Piriá",15013,"Guamá","Não",8434.077,1874.42,3210.846,12980.869,26500.212,548.076,27048.288,1545.17,NA,NA,NA,NA,NA,NA
"209",0.446,"JURUTI","PA","2002","JURUTI",220,1503903,"Juruti",15001,"Óbidos","Não",30703.34,2854.152,10562.449,23366.327,67486.269,2119.094,69605.363,2079.2,NA,NA,NA,NA,NA,NA
"210",0.472,"PICARRA","PA","2002","PICARRA",221,1505635,"Piçarra",15021,"Redenção","Não",30760.466,4634.026,5512.809,9801.418,50708.718,1346.378,52055.096,3902.77,NA,NA,NA,NA,NA,NA
"211",0.72,"LIMOEIRO DO AJURU","PA","2002","LIMOEIRO DO AJURU",222,1504000,"Limoeiro do Ajuru",15011,"Cametá","Não",50410.149,1005.603,4262.604,16210.801,71889.156,871.135,72760.291,3557.79,NA,NA,NA,NA,NA,NA
"212",0.261,"BELTERRA","PA","2002","BELTERRA",223,1501451,"Belterra",15002,"Santarém","Não",9281.019,1824.007,4487.012,11558.554,27150.592,589.847,27740.439,1757.39,NA,NA,NA,NA,NA,NA
"213",0.665,"MAGALHAES BARATA","PA","2002","MAGALHAES BARATA",224,1504109,"Magalhães Barata",15009,"Salgado","Não",2866.788,791.365,2014.784,5405.151,11078.089,243.819,11321.908,1452.09,NA,NA,NA,NA,NA,NA
"214",0.268,"SAO JOAO DA PONTA","PA","2002","SAO JOAO DA PONTA",225,1507466,"São João da Ponta",15009,"Salgado","Não",4684.228,786.623,1905.309,3871.015,11247.175,273.879,11521.054,2888.21,NA,NA,NA,NA,NA,NA
"215",0.546,"MARABA","PA","2002","MARABA",226,1504208,"Marabá",15020,"Marabá","Não",25310.691,121940.329,383338.185,152512.357,683101.561,113109.393,796210.954,4404.84,NA,NA,NA,NA,NA,NA
"216",0.516,"SAPUCAIA","PA","2002","SAPUCAIA",227,1507755,"Sapucaia",15021,"Redenção","Não",18192.195,1917.267,3939.081,3721.692,27770.235,683.453,28453.687,8393.42,NA,NA,NA,NA,NA,NA
"217",0.466,"MARACANA","PA","2002","MARACANA",228,1504307,"Maracanã",15009,"Salgado","Não",11141.818,1616.627,6286.483,19950.041,38994.969,721.928,39716.897,1411.2,NA,NA,NA,NA,NA,NA
"218",0.574,"MARAPANIM","PA","2002","MARAPANIM",229,1504406,"Marapanim",15009,"Salgado","Não",10412.206,2275.368,10368.295,20496.95,43552.819,1000.378,44553.198,1710.43,NA,NA,NA,NA,NA,NA
"219",0.3,"MELGACO","PA","2002","MELGACO",230,1504505,"Melgaço",15004,"Portel","Não",5149.854,1152.636,2875.794,17115.336,26293.619,587.206,26880.825,1171.89,NA,NA,NA,NA,NA,NA
"220",0.468,"MOCAJUBA","PA","2002","MOCAJUBA",231,1504604,"Mocajuba",15011,"Cametá","Não",15634.218,1721.921,8620.324,17859.584,43836.046,1088.435,44924.481,2126.1,NA,NA,NA,NA,NA,NA
"221",0.347,"MOJU","PA","2002","MOJU",232,1504703,"Moju",15012,"Tomé-Açu","Não",39604.12,9783.383,21286.96,44704.209,115378.673,6084.523,121463.196,2147.97,NA,NA,NA,NA,NA,NA
"222",0.348,"MONTE ALEGRE","PA","2002","MONTE ALEGRE",233,1504802,"Monte Alegre",15002,"Santarém","Não",49445.03,6643.386,28561.96,50986.092,135636.468,4478.488,140114.956,2220.31,NA,NA,NA,NA,NA,NA
"223",0.496,"MUANA","PA","2002","MUANA",234,1504901,"Muaná",15006,"Arari","Não",19397.038,1723.824,5584.07,20178.056,46882.988,924.628,47807.617,1813.85,NA,NA,NA,NA,NA,NA
"224",0.275,"NOVA TIMBOTEUA","PA","2002","NOVA TIMBOTEUA",235,1505007,"Nova Timboteua",15010,"Bragantina","Não",5337.685,1248.355,5127.255,9652.705,21366,569.091,21935.091,1831.89,NA,NA,NA,NA,NA,NA
"225",0.442,"OBIDOS","PA","2002","OBIDOS",236,1505106,"Óbidos",15001,"Óbidos","Não",54476.78,10789.587,25669.137,35920.353,126855.857,4379.263,131235.12,2751.78,NA,NA,NA,NA,NA,NA
"226",0.517,"OEIRAS DO PARA","PA","2002","OEIRAS DO PARA",237,1505205,"Oeiras do Pará",15011,"Cametá","Não",17049.568,1229.361,5287.91,19671.605,43238.444,769.013,44007.457,1793.51,NA,NA,NA,NA,NA,NA
"227",0.444,"ORIXIMINA","PA","2002","ORIXIMINA",238,1505304,"Oriximiná",15001,"Óbidos","Não",46778.045,264883.785,171944.056,47838.08,531443.966,63330.881,594774.847,11769.8,NA,NA,NA,NA,NA,NA
"228",0.458,"OUREM","PA","2002","OUREM",239,1505403,"Ourém",15013,"Guamá","Não",11549.126,1633.322,6388.939,11149.965,30721.351,695.418,31416.769,2113.33,NA,NA,NA,NA,NA,NA
"229",0.367,"PARAGOMINAS","PA","2002","PARAGOMINAS",240,1505502,"Paragominas",15017,"Paragominas","Não",209096.229,119394.435,113017.613,65975.82,507484.097,32747.911,540232.008,6646.64,NA,NA,NA,NA,NA,NA
